,Date,Value,Payload,Daily_Gain,Missing_Price,No_Tradable_Day,Market_Out,Change (%),Cum_Gain
87,2000-05-08,-146.25,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",6.25,False,False,False,-1.1428571428571428,68.75
88,2000-05-09,-150.0,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-18.75,False,False,False,-4.0,50.0
89,2000-05-10,-150.0,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,-1.0,50.0
90,2000-05-11,-155.0,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-25.0,False,False,False,-inf,25.0
91,2000-05-12,-166.25,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-56.25,False,False,False,1.25,-31.25
92,2000-05-15,-168.75,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-12.5,False,False,False,-0.7777777777777778,-43.75
93,2000-05-16,-171.25,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-12.5,False,False,False,0.0,-56.25
94,2000-05-17,-158.75,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",62.5,False,False,False,-6.0,6.25
95,2000-05-18,-163.75,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-25.0,False,False,False,-1.4,-18.75
96,2000-05-19,-150.0,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",68.75,False,False,False,-3.75,50.0
97,2000-05-22,-155.0,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-25.0,False,False,False,-1.3636363636363638,25.0
98,2000-05-23,-160.0,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-25.0,False,False,False,0.0,0.0
99,2000-05-24,-160.0,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,-1.0,0.0
100,2000-05-25,-153.75,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",31.25,False,False,False,inf,31.25
101,2000-05-26,-158.75,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-25.0,False,False,False,-1.8,6.25
102,2000-05-29,-158.75,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': True, 'tradable_day': 0}",0.0,False,True,False,-1.0,6.25
103,2000-05-30,-153.75,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",25.0,False,False,False,inf,31.25
104,2000-05-31,-157.5,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-18.75,False,False,False,-1.75,12.5
105,2000-06-01,-168.75,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-56.25,False,False,False,2.0,-43.75
106,2000-06-02,-161.25,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",37.5,False,False,False,-1.6666666666666665,-6.25
107,2000-06-05,-173.75,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-62.5,False,False,False,-2.666666666666667,-68.75
108,2000-06-06,-178.75,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-25.0,False,False,False,-0.6,-93.75
109,2000-06-07,-175.0,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",18.75,False,False,False,-1.75,-75.0
110,2000-06-08,-165.5,"{'long_future': 'S X00', 'short_future': 'S X01', 'previous_long_future': 'S N00', 'previous_short_future': 'S N01', 'event': {'rolling_over': 1}, 'missing_price_flag': False, 'tradable_day': 0}",47.5,False,False,False,1.5333333333333332,-27.5
111,2000-06-09,-148.25,"{'long_future': 'S X00', 'short_future': 'S X01', 'previous_long_future': 'S N00', 'previous_short_future': 'S N01', 'event': {'rolling_over': 2}, 'missing_price_flag': False, 'tradable_day': 0}",86.25,False,False,False,0.8157894736842106,58.75
112,2000-06-12,-156.0,"{'long_future': 'S X00', 'short_future': 'S X01', 'previous_long_future': 'S N00', 'previous_short_future': 'S N01', 'event': {'rolling_over': 3}, 'missing_price_flag': False, 'tradable_day': 0}",-38.75,False,False,False,-1.4492753623188406,20.0
113,2000-06-13,-150.0,"{'long_future': 'S X00', 'short_future': 'S X01', 'previous_long_future': 'S N00', 'previous_short_future': 'S N01', 'event': {'rolling_over': 4}, 'missing_price_flag': False, 'tradable_day': 0}",30.0,False,False,False,-1.7741935483870968,50.0
114,2000-06-14,-170.0,"{'long_future': 'S X00', 'short_future': 'S X01', 'previous_long_future': 'S N00', 'previous_short_future': 'S N01', 'event': {'rolling_over': 5}, 'missing_price_flag': False, 'tradable_day': 0}",-100.0,False,False,False,-4.333333333333334,-50.0
115,2000-06-15,-175.0,"{'long_future': 'S X00', 'short_future': 'S X01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-25.0,False,False,False,-0.75,-75.0
116,2000-06-16,-161.25,"{'long_future': 'S X00', 'short_future': 'S X01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",68.75,False,False,False,-3.75,-6.25
117,2000-06-19,-172.5,"{'long_future': 'S X00', 'short_future': 'S X01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-56.25,False,False,False,-1.8181818181818183,-62.5
118,2000-06-20,-190.0,"{'long_future': 'S X00', 'short_future': 'S X01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-87.5,False,False,False,0.5555555555555556,-150.0
119,2000-06-21,-183.75,"{'long_future': 'S X00', 'short_future': 'S X01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",31.25,False,False,False,-1.3571428571428572,-118.75
120,2000-06-22,-193.75,"{'long_future': 'S X00', 'short_future': 'S X01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-50.0,False,False,False,-2.6,-168.75
121,2000-06-23,-203.75,"{'long_future': 'S X00', 'short_future': 'S X01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-50.0,False,False,False,0.0,-218.75
122,2000-06-26,-206.25,"{'long_future': 'S X00', 'short_future': 'S X01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-12.5,False,False,False,-0.75,-231.25
123,2000-06-27,-198.75,"{'long_future': 'S X00', 'short_future': 'S X01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",37.5,False,False,False,-4.0,-193.75
124,2000-06-28,-196.25,"{'long_future': 'S X00', 'short_future': 'S X01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",12.5,False,False,False,-0.6666666666666667,-181.25
125,2000-06-29,-188.75,"{'long_future': 'S X00', 'short_future': 'S X01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",37.5,False,False,False,2.0,-143.75
126,2000-06-30,-206.25,"{'long_future': 'S X00', 'short_future': 'S X01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-87.5,False,False,False,-3.3333333333333335,-231.25
127,2000-07-03,-207.5,"{'long_future': 'S X00', 'short_future': 'S X01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-6.25,False,False,False,-0.9285714285714286,-237.5
128,2000-07-04,-207.5,"{'long_future': 'S X00', 'short_future': 'S X01', 'event': 'base', 'missing_price_flag': True, 'tradable_day': 0}",0.0,False,True,False,-1.0,-237.5
129,2000-07-05,-215.0,"{'long_future': 'S X00', 'short_future': 'S X01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-37.5,False,False,False,-inf,-275.0
130,2000-07-06,-212.5,"{'long_future': 'S X00', 'short_future': 'S X01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",12.5,False,False,False,-1.3333333333333333,-262.5
131,2000-07-07,-217.5,"{'long_future': 'S X00', 'short_future': 'S X01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-25.0,False,False,False,-3.0,-287.5
132,2000-07-10,-217.5,"{'long_future': 'S X00', 'short_future': 'S X01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,-1.0,-287.5
133,2000-07-11,-220.0,"{'long_future': 'S X00', 'short_future': 'S X01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-12.5,False,False,False,-inf,-300.0
134,2000-07-12,-197.5,"{'long_future': 'S X00', 'short_future': 'S X01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",112.5,False,False,False,-10.0,-187.5
135,2000-07-13,-208.75,"{'long_future': 'S X00', 'short_future': 'S X01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-56.25,False,False,False,-1.5,-243.75
136,2000-07-14,-211.25,"{'long_future': 'S X00', 'short_future': 'S X01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-12.5,False,False,False,-0.7777777777777778,-256.25
137,2000-07-17,-222.5,"{'long_future': 'S X00', 'short_future': 'S X01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-56.25,False,False,False,3.5,-312.5
138,2000-07-18,-221.25,"{'long_future': 'S X00', 'short_future': 'S X01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",6.25,False,False,False,-1.1111111111111112,-306.25
139,2000-07-19,-223.75,"{'long_future': 'S X00', 'short_future': 'S X01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-12.5,False,False,False,-3.0,-318.75
140,2000-07-20,-220.0,"{'long_future': 'S X00', 'short_future': 'S X01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",18.75,False,False,False,-2.5,-300.0
